title,slug,type,status,listing_type,price,price_currency,bedrooms,bedrooms_max,bathrooms,area_sqft,location,community,building_name,developer,address,latitude,longitude,furnishing,description,features,highlights,amenities,interior_features,upcoming_infrastructure,images,agent_name,agent_phone,agent_email,featured
"Marbella Grand 3, 4 & 5 BHK Luxury Apartments","marbella-grand-it-city-mohali","apartment","available","sale",32000000,"INR",3,5,4,2600,"Mohali","IT City","Marbella Grand","Marbella Group","IT City, Sector 82A, Mohali, Punjab",30.6655,76.7322,"semi-furnished","Marbella Grand offers ultra-luxury apartments, earth villas, and penthouses. Designed for those who appreciate fine living, it features unparalleled amenities including a skywalk, expansive clubhouses, and smart home technology. Located on Airport Road, offering prime connectivity.","{""Smart Home Automation"",""Italian Marble Flooring"",""Modular Kitchen"",""VRV Air Conditioning""}","{""Prime location on Airport Road"",""Close to International Airport"",""Upcoming IT Hub vicinity""}","{""Swimming Pool"",""Gym"",""Spa"",""Mini Theatre"",""Tennis Court"",""Kids Pool""}","{""Walk-in Closets"",""Premium Bath Fittings"",""Double-height Ceilings""}","{""Bharatmala connectivity"",""New corporate offices in IT City""}","{""https://images.unsplash.com/photo-1600585153490-76fb20a32601?w=1200"",""https://images.unsplash.com/photo-1512917774080-9991f1c4c750?w=1200"",""https://images.unsplash.com/photo-1600210492486-724fe5c67fb0?w=1200"",""https://images.unsplash.com/photo-1600585154340-be6161a56a0c?w=1200"",""https://images.unsplash.com/photo-1600573472591-ee6b68d14c68?w=1200"",""https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=1200"",""https://images.unsplash.com/photo-1600607687920-4e2a09cf159d?w=1200"",""https://images.unsplash.com/photo-1582407947304-fd86f028f716?w=1200"",""https://images.unsplash.com/photo-1600585154526-990dced4ea0a?w=1200"",""https://images.unsplash.com/photo-1600566753190-17f0baa2a6c3?w=1200""}","Amritpal Singh","+91 7814613916","hello@realtyconsultants.in",true
"Noble Callista 3, 4 & 5 BHK Premium Residences","noble-callista-sector-66b-mohali","apartment","off-plan","sale",38000000,"INR",3,5,4,2850,"Mohali","Sector 66B","Noble Callista","Noble Ventures","Sector 66B, IT City Road, Mohali",30.6721,76.7451,"semi-furnished","Noble Callista is a beacon of luxury living in Mohali, offering spacious 3, 4, and 5 BHK apartments. With a focus on sustainable and green living, it provides expansive balconies, top-tier clubhouse facilities, and seamless access to Chandigarh and the airport.","{""Green Building Design"",""Grand Entrance Lobby"",""Premium Wooden Flooring""}","{""Immediate access to IT City"",""Proximity to top schools"",""High rental yield potential""}","{""Infinity Pool"",""Business Center"",""Concierge"",""Jogging Track"",""Rooftop Terrace""}","{""Spacious Balconies"",""Fitted Wardrobes"",""Designer Kitchens""}","{""New commercial complexes"",""Road widening project""}","{""https://images.unsplash.com/photo-1600585154526-990dced4ea0a?w=1200"",""https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?w=1200"",""https://images.unsplash.com/photo-1613490493576-7fde63acd811?w=1200"",""https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?w=1200"",""https://images.unsplash.com/photo-1512453979798-5ea266f8880c?w=1200"",""https://images.unsplash.com/photo-1600585154340-be6161a56a0c?w=1200"",""https://images.unsplash.com/photo-1600607687920-4e2a09cf159d?w=1200"",""https://images.unsplash.com/photo-1600607687644-b04fd4d10d33?w=1200"",""https://images.unsplash.com/photo-1600566752355-35792bedcfea?w=1200"",""https://images.unsplash.com/photo-1600210492486-724fe5c67fb0?w=1200"",""https://images.unsplash.com/photo-1600585153490-76fb20a32601?w=1200"",""https://images.unsplash.com/photo-1600566753190-17f0baa2a6c3?w=1200"",""https://images.unsplash.com/photo-1582407947304-fd86f028f716?w=1200"",""https://images.unsplash.com/photo-1600607688969-a5bfcd64bd28?w=1200"",""https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?w=1200""}","Amritpal Singh","+91 7814613916","hello@realtyconsultants.in",true
"Beverly Golf Avenue Luxury Condominiums","beverly-golf-avenue-sector-65-mohali","apartment","available","sale",29000000,"INR",3,4,4,2150,"Mohali","Sector 65","Beverly Golf Avenue","Beverly Golf Avenue","Adjoining Mohali Golf Range, Sector 65, Mohali",30.6883,76.7384,"semi-furnished","Wake up to breathtaking views of the Mohali Golf Range. Beverly Golf Avenue combines opulence with nature, offering lavish condominiums with world-class clubhouse amenities and sports facilities right at your doorstep.","{""Golf Course Views"",""Vaastu Compliant"",""Earthquake Resistant Structure""}","{""Direct access to Golf Range"",""Central location"",""Elite neighborhood""}","{""Golf Putting"",""Swimming Pool"",""Gym"",""Sauna"",""BBQ Area""}","{""Large French Windows"",""Branded Sanitary Ware"",""Video Door Phone""}","{""Sector 65 Metro Station proposal"",""Upgraded neighborhood parks""}","{""https://images.unsplash.com/photo-1600607687644-b04fd4d10d33?w=1200"",""https://images.unsplash.com/photo-1613490493576-7fde63acd811?w=1200"",""https://images.unsplash.com/photo-1600573472591-ee6b68d14c68?w=1200"",""https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?w=1200"",""https://images.unsplash.com/photo-1600585154526-990dced4ea0a?w=1200"",""https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?w=1200"",""https://images.unsplash.com/photo-1600566753190-17f0baa2a6c3?w=1200"",""https://images.unsplash.com/photo-1512453979798-5ea266f8880c?w=1200"",""https://images.unsplash.com/photo-1600607688969-a5bfcd64bd28?w=1200"",""https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?w=1200"",""https://images.unsplash.com/photo-1582407947304-fd86f028f716?w=1200""}","Amritpal Singh","+91 7814613916","hello@realtyconsultants.in",false
"The Medallion Premium 3 & 4 BHK Apartments","the-medallion-sector-82a-mohali","apartment","off-plan","sale",27500000,"INR",3,4,3,1950,"Mohali","Sector 82A","The Medallion","Turnstone Realty","Sector 82A, IT City, Mohali",30.6612,76.7301,"semi-furnished","The Medallion offers premium residential living with exclusive 3 and 4 BHK apartments and penthouses. Designed for optimal natural light and ventilation, it features dedicated green spaces, a massive clubhouse, and zero surface traffic design.","{""Podium Level Amenities"",""No Surface Traffic"",""Independent Towers""}","{""Corner site"",""Double-height podium"",""Surrounded by IT corporate offices""}","{""Kids Pool"",""Tennis Court"",""Function Room"",""Gym"",""Spa""}","{""Modular Kitchen with Chimney"",""Premium Vitrified Tiles"",""Concealed Wiring""}","{""IT City commercial expansion"",""New airport road flyovers""}","{""https://images.unsplash.com/photo-1613490493576-7fde63acd811?w=1200"",""https://images.unsplash.com/photo-1600585154340-be6161a56a0c?w=1200"",""https://images.unsplash.com/photo-1582407947304-fd86f028f716?w=1200"",""https://images.unsplash.com/photo-1600566753190-17f0baa2a6c3?w=1200"",""https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=1200"",""https://images.unsplash.com/photo-1600607687644-b04fd4d10d33?w=1200"",""https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?w=1200"",""https://images.unsplash.com/photo-1512917774080-9991f1c4c750?w=1200"",""https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?w=1200"",""https://images.unsplash.com/photo-1600566752355-35792bedcfea?w=1200""}","Amritpal Singh","+91 7814613916","hello@realtyconsultants.in",true
"Homeland Heights Ultra-Luxury Residences","homeland-heights-sector-70-mohali","apartment","available","sale",45000000,"INR",4,5,5,3200,"Mohali","Sector 70","Homeland Heights","Homeland Group","Sector 70, Airport Road, Mohali",30.7025,76.715,"semi-furnished","One of Mohali's most iconic luxury addresses. Homeland Heights sets a benchmark in architectural brilliance and luxury living. Featuring a soaring high-rise structure, these apartments offer panoramic city views, unmatched privacy, and top-of-the-line amenities.","{""Helipad"",""Iconic High-rise"",""Exquisite Landscaping""}","{""Heart of Mohali"",""Instant connectivity to Chandigarh"",""Elite resident profile""}","{""Infinity Pool"",""Valet Parking"",""Security"",""Gym"",""Business Center""}","{""Central Air Conditioning"",""Imported Marble"",""Servant Quarter""}","{""Premium retail high-street nearby""}","{""https://images.unsplash.com/photo-1600607688969-a5bfcd64bd28?w=1200"",""https://images.unsplash.com/photo-1600585154340-be6161a56a0c?w=1200"",""https://images.unsplash.com/photo-1613490493576-7fde63acd811?w=1200"",""https://images.unsplash.com/photo-1512453979798-5ea266f8880c?w=1200"",""https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=1200"",""https://images.unsplash.com/photo-1600566753190-17f0baa2a6c3?w=1200"",""https://images.unsplash.com/photo-1582407947304-fd86f028f716?w=1200"",""https://images.unsplash.com/photo-1600210492486-724fe5c67fb0?w=1200"",""https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?w=1200"",""https://images.unsplash.com/photo-1600607687920-4e2a09cf159d?w=1200"",""https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?w=1200"",""https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?w=1200"",""https://images.unsplash.com/photo-1600566752355-35792bedcfea?w=1200""}","Amritpal Singh","+91 7814613916","hello@realtyconsultants.in",false
"JLPL Falcon View Premium Apartments","jlpl-falcon-view-sector-66a-mohali","apartment","available","sale",31000000,"INR",3,4,4,2490,"Mohali","Sector 66A","Falcon View","Janta Land Promoters Ltd (JLPL)","Sector 66A, Mohali",30.678,76.751,"semi-furnished","JLPL Falcon View is a landmark project offering lavish 3 and 4 BHK apartments. Known for its majestic facade and expansive green areas, the project is a fully integrated township that guarantees a luxurious and secure lifestyle with high-end sports facilities.","{""Massive Central Green"",""Wheelchair friendly"",""Gas Pipeline""}","{""Developed by highly reputed JLPL"",""Close to International Airport"",""Excellent resale value""}","{""Swimming Pool"",""Tennis Court"",""Jogging Track"",""Clubhouse"",""Security""}","{""Wooden Flooring"",""Premium UPVC windows"",""Acrylic emulsion paint""}","{""Sector 66A Commercial District""}","{""https://images.unsplash.com/photo-1600210492486-724fe5c67fb0?w=1200"",""https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=1200"",""https://images.unsplash.com/photo-1600585154340-be6161a56a0c?w=1200"",""https://images.unsplash.com/photo-1512917774080-9991f1c4c750?w=1200"",""https://images.unsplash.com/photo-1600585154526-990dced4ea0a?w=1200"",""https://images.unsplash.com/photo-1600607688969-a5bfcd64bd28?w=1200"",""https://images.unsplash.com/photo-1600573472591-ee6b68d14c68?w=1200"",""https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?w=1200"",""https://images.unsplash.com/photo-1477959858617-67f85cf4f1df?w=1200"",""https://images.unsplash.com/photo-1600566753190-17f0baa2a6c3?w=1200""}","Amritpal Singh","+91 7814613916","hello@realtyconsultants.in",false
"Hero Homes 2 & 3 BHK Apartments","hero-homes-sector-88-mohali","apartment","available","sale",15500000,"INR",2,3,2,1290,"Mohali","Sector 88","Hero Homes","Hero Realty","Sector 88, Mohali",30.6973,76.6903,"semi-furnished","Hero Homes Mohali represents a unique concept of sustainable living. With over 25,000 sq ft of clubhouse space and thematic gardens, it is designed to foster a vibrant community life. The apartments are meticulously planned to offer maximum space utility.","{""IGBC Pre-Gold Certification"",""Thematic Gardens"",""Smart Space Design""}","{""Trusted Hero brand"",""Excellent community life"",""Affordable luxury""}","{""Gym"",""Swimming Pool"",""Kids Pool"",""Jogging Track"",""Security""}","{""Vitrified Flooring"",""Stainless steel sink"",""High-quality CP fittings""}","{""Sector 88 integrated development plan"",""New road connectivity to GMADA eco-city""}","{""https://images.unsplash.com/photo-1600607688969-a5bfcd64bd28?w=1200"",""https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=1200"",""https://images.unsplash.com/photo-1512917774080-9991f1c4c750?w=1200"",""https://images.unsplash.com/photo-1600566753190-17f0baa2a6c3?w=1200"",""https://images.unsplash.com/photo-1613490493576-7fde63acd811?w=1200"",""https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?w=1200"",""https://images.unsplash.com/photo-1582407947304-fd86f028f716?w=1200"",""https://images.unsplash.com/photo-1512453979798-5ea266f8880c?w=1200"",""https://images.unsplash.com/photo-1600585154340-be6161a56a0c?w=1200"",""https://images.unsplash.com/photo-1600585154526-990dced4ea0a?w=1200"",""https://images.unsplash.com/photo-1600607687920-4e2a09cf159d?w=1200"",""https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?w=1200"",""https://images.unsplash.com/photo-1600210492486-724fe5c67fb0?w=1200"",""https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?w=1200"",""https://images.unsplash.com/photo-1600566752355-35792bedcfea?w=1200"",""https://images.unsplash.com/photo-1477959858617-67f85cf4f1df?w=1200""}","Amritpal Singh","+91 7814613916","hello@realtyconsultants.in",false
"Wave Estate Luxury Floors & Apartments","wave-estate-sector-85-mohali","apartment","available","sale",21000000,"INR",3,4,3,1750,"Mohali","Wave Estate","Wave Estate","Wave Infratech","Sector 85, Mohali",30.685,76.711,"unfurnished","Located in the heart of Mohali, Wave Estate is a gated community offering an array of luxury apartments, independent floors, and villas. It features international standard landscaping, underground cabling, and a serene living environment.","{""Gated Township"",""Underground Electrification"",""Wide internal roads""}","{""Self-sustained township"",""Proximity to Indian School of Business (ISB)"",""High security""}","{""Garden"",""Jogging Track"",""Security"",""Clubhouse"",""Kids Play Area""}","{""Spacious Layouts"",""Branded Electricals""}","{""Internal commercial plazas opening soon""}","{""https://images.unsplash.com/photo-1600566753190-17f0baa2a6c3?w=1200"",""https://images.unsplash.com/photo-1600585153490-76fb20a32601?w=1200"",""https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?w=1200"",""https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=1200"",""https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?w=1200"",""https://images.unsplash.com/photo-1600210492486-724fe5c67fb0?w=1200"",""https://images.unsplash.com/photo-1600607687920-4e2a09cf159d?w=1200"",""https://images.unsplash.com/photo-1477959858617-67f85cf4f1df?w=1200"",""https://images.unsplash.com/photo-1600573472591-ee6b68d14c68?w=1200"",""https://images.unsplash.com/photo-1600585154340-be6161a56a0c?w=1200"",""https://images.unsplash.com/photo-1512453979798-5ea266f8880c?w=1200"",""https://images.unsplash.com/photo-1600607688969-a5bfcd64bd28?w=1200"",""https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?w=1200"",""https://images.unsplash.com/photo-1600566752355-35792bedcfea?w=1200""}","Amritpal Singh","+91 7814613916","hello@realtyconsultants.in",false
"Escon Primera 3 BHK Luxury Living","escon-primera-airport-road-mohali","apartment","off-plan","sale",18500000,"INR",3,3,3,1550,"Mohali","Airport Road","Escon Primera","Escon","Airport Road, Zirakpur-Mohali Highway",30.64,76.79,"semi-furnished","Escon Primera brings resort-style living to the Airport Road. Offering smartly designed 3 BHK apartments with dual-aspect ventilation and premium finishes. The project focuses on resort-like amenities and seamless connectivity to the international airport.","{""Resort Style Architecture"",""Cross Ventilation"",""Energy Efficient""}","{""Direct Airport Road access"",""High appreciation corridor"",""Boutique development""}","{""Pool"",""Gym"",""Sauna"",""Function Room"",""Garden""}","{""Premium Wardrobes"",""Modular Kitchen"",""Designer Bathrooms""}","{""Bharatmala connectivity"",""Aerocity extension developments""}","{""https://images.unsplash.com/photo-1512453979798-5ea266f8880c?w=1200"",""https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=1200"",""https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?w=1200"",""https://images.unsplash.com/photo-1600607688969-a5bfcd64bd28?w=1200"",""https://images.unsplash.com/photo-1477959858617-67f85cf4f1df?w=1200"",""https://images.unsplash.com/photo-1600566752355-35792bedcfea?w=1200"",""https://images.unsplash.com/photo-1512917774080-9991f1c4c750?w=1200"",""https://images.unsplash.com/photo-1600585154340-be6161a56a0c?w=1200"",""https://images.unsplash.com/photo-1600210492486-724fe5c67fb0?w=1200"",""https://images.unsplash.com/photo-1600607687644-b04fd4d10d33?w=1200"",""https://images.unsplash.com/photo-1600607687920-4e2a09cf159d?w=1200"",""https://images.unsplash.com/photo-1600573472591-ee6b68d14c68?w=1200"",""https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?w=1200""}","Amritpal Singh","+91 7814613916","hello@realtyconsultants.in",false
"Joy Grand 3 & 4 BHK Luxury Apartments","joy-grand-sector-88-mohali","apartment","off-plan","sale",22000000,"INR",3,4,4,2150,"Mohali","Sector 88","Joy Grand","Joy Homes","Sector 88, Mohali, Punjab",30.697,76.69,"semi-furnished","Joy Grand redefines luxury living in Sector 88, a core GMADA sector. Offering expansive 3 and 4 BHK apartments with impeccable design, it features resort-style amenities, sprawling green landscapes, and seamless connectivity to Chandigarh and the International Airport.","{""Mivan Construction"",""Double-Height Lobbies"",""Energy Efficient Design""}","{""Located in core GMADA Sector 88"",""Low-density premium project"",""Excellent connectivity""}","{""Swimming Pool"",""Gym"",""Clubhouse"",""Kids Play Area"",""Jogging Track""}","{""Premium Vitrified Tiles"",""Branded CP Fittings"",""Modular Kitchen""}","{""Sector 88 commercial development"",""Upgraded road networks""}","{""https://images.unsplash.com/photo-1600585154526-990dced4ea0a?w=1200"",""https://images.unsplash.com/photo-1600566753190-17f0baa2a6c3?w=1200"",""https://images.unsplash.com/photo-1600210492486-724fe5c67fb0?w=1200"",""https://images.unsplash.com/photo-1600585153490-76fb20a32601?w=1200"",""https://images.unsplash.com/photo-1582407947304-fd86f028f716?w=1200"",""https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=1200"",""https://images.unsplash.com/photo-1512453979798-5ea266f8880c?w=1200"",""https://images.unsplash.com/photo-1600607687644-b04fd4d10d33?w=1200"",""https://images.unsplash.com/photo-1600566752355-35792bedcfea?w=1200"",""https://images.unsplash.com/photo-1512917774080-9991f1c4c750?w=1200"",""https://images.unsplash.com/photo-1600585154340-be6161a56a0c?w=1200"",""https://images.unsplash.com/photo-1477959858617-67f85cf4f1df?w=1200"",""https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?w=1200"",""https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?w=1200"",""https://images.unsplash.com/photo-1600607687920-4e2a09cf159d?w=1200"",""https://images.unsplash.com/photo-1613490493576-7fde63acd811?w=1200""}","Amritpal Singh","+91 7814613916","hello@realtyconsultants.in",true
